Date;Time;Temperature;Mode
2018-04-07;18:31:30,836;22.6;confort
2018-04-07;18:46:30,872;22.6;confort
2018-04-07;19:01:30,911;22.5;confort
2018-04-07;19:16:30,950;22.2;confort
2018-04-07;19:31:30,987;22.1;confort
2018-04-07;19:46:31,024;22.0;confort
2018-04-07;20:01:31,062;21.8;confort
2018-04-07;20:16:31,098;21.8;confort
2018-04-07;20:31:31,137;21.7;confort
2018-04-07;20:46:31,174;21.7;confort
2018-04-07;21:01:31,211;21.5;confort
2018-04-07;21:16:31,248;21.5;confort
2018-04-07;21:31:31,286;21.5;confort
2018-04-07;21:46:31,323;21.5;confort
2018-04-07;22:01:31,360;21.6;confort
2018-04-07;22:16:31,397;21.6;confort
2018-04-07;22:31:31,433;21.6;confort
2018-04-07;22:46:31,472;21.6;confort
2018-04-07;23:01:31,508;21.6;confort
2018-04-07;23:16:31,547;21.6;confort
2018-04-07;23:31:31,583;21.6;confort
2018-04-07;23:46:31,620;21.6;eco
2018-04-08;00:01:31,661;21.4;eco
2018-04-08;00:16:31,699;21.2;eco
2018-04-08;00:31:31,736;21.0;eco
2018-04-08;00:46:31,773;20.9;eco
2018-04-08;01:01:31,810;20.7;eco
2018-04-08;01:16:31,848;20.6;eco
2018-04-08;01:31:31,884;20.4;eco
2018-04-08;01:46:31,922;20.3;eco
2018-04-08;02:01:31,960;20.1;eco
2018-04-08;02:16:31,996;20.1;eco
2018-04-08;02:31:32,033;20.1;eco
2018-04-08;02:46:32,069;20.0;eco
2018-04-08;03:01:32,106;20.0;eco
2018-04-08;03:16:32,143;19.8;eco
2018-04-08;03:31:32,180;19.7;eco
2018-04-08;03:46:32,218;19.6;eco
2018-04-08;04:01:32,254;19.6;eco
2018-04-08;04:16:32,292;19.5;eco
2018-04-08;04:31:32,328;19.5;eco
2018-04-08;04:46:32,366;19.4;eco
2018-04-08;05:01:32,403;19.3;eco
2018-04-08;05:16:32,440;19.3;eco
2018-04-08;05:31:32,477;19.3;eco
2018-04-08;05:46:32,516;19.1;eco
2018-04-08;06:01:32,554;19.1;confort
2018-04-08;06:16:32,590;19.0;confort
2018-04-08;06:31:32,628;19.0;confort
2018-04-08;06:46:32,665;19.0;confort
2018-04-08;07:01:32,703;18.7;confort
2018-04-08;07:16:32,739;18.8;confort
2018-04-08;07:31:32,777;18.7;confort
2018-04-08;07:46:32,814;18.8;confort
2018-04-08;08:01:32,852;18.9;confort
2018-04-08;08:16:32,889;18.9;confort
2018-04-08;08:31:32,926;19.0;confort
2018-04-08;08:46:32,964;19.0;confort
2018-04-08;09:01:33,001;19.0;confort
2018-04-08;09:16:33,038;19.1;confort
2018-04-08;09:31:33,076;19.1;confort
2018-04-08;09:46:33,113;19.1;confort
2018-04-08;10:01:33,152;19.2;confort
2018-04-08;10:16:33,190;20.1;confort
2018-04-08;10:31:33,227;20.5;confort
2018-04-08;10:46:33,265;20.5;confort
2018-04-08;11:01:33,301;21.2;confort
2018-04-08;11:16:33,338;21.4;confort
2018-04-08;11:31:33,375;21.2;confort
2018-04-08;11:46:33,411;21.3;confort
2018-04-08;12:01:33,448;22.0;confort
2018-04-08;12:16:33,486;22.5;confort
2018-04-08;12:31:33,522;22.1;confort
2018-04-08;12:35:46,533;22.1;confort
2018-04-08;12:50:46,569;22.1;confort
2018-04-08;13:05:46,607;21.9;confort
